date,close,asset,ticker_used
2023-08-01,81.37000274658203,crude,CL=F
2023-08-02,79.48999786376953,crude,CL=F
2023-08-03,81.55000305175781,crude,CL=F
2023-08-04,82.81999969482422,crude,CL=F
2023-08-07,81.94000244140625,crude,CL=F
2023-08-08,82.91999816894531,crude,CL=F
2023-08-09,84.4000015258789,crude,CL=F
2023-08-10,82.81999969482422,crude,CL=F
2023-08-11,83.19000244140625,crude,CL=F
2023-08-14,82.51000213623047,crude,CL=F
2023-08-15,80.98999786376953,crude,CL=F
2023-08-16,79.37999725341797,crude,CL=F
2023-08-17,80.38999938964844,crude,CL=F
2023-08-18,81.25,crude,CL=F
2023-08-21,80.72000122070312,crude,CL=F
2023-08-22,80.3499984741211,crude,CL=F
2023-08-23,78.88999938964844,crude,CL=F
2023-08-24,79.05000305175781,crude,CL=F
2023-08-25,79.83000183105469,crude,CL=F
2023-08-28,80.0999984741211,crude,CL=F
2023-08-29,81.16000366210938,crude,CL=F
2023-08-30,81.62999725341797,crude,CL=F
2023-08-31,83.62999725341797,crude,CL=F
2023-09-01,85.55000305175781,crude,CL=F
2023-09-05,86.69000244140625,crude,CL=F
2023-09-06,87.54000091552734,crude,CL=F
2023-09-07,86.87000274658203,crude,CL=F
2023-09-08,87.51000213623047,crude,CL=F
2023-09-11,87.29000091552734,crude,CL=F
2023-09-12,88.83999633789062,crude,CL=F
2023-09-13,88.5199966430664,crude,CL=F
2023-09-14,90.16000366210938,crude,CL=F
2023-09-15,90.7699966430664,crude,CL=F
2023-09-18,91.4800033569336,crude,CL=F
2023-09-19,91.19999694824219,crude,CL=F
2023-09-20,90.27999877929688,crude,CL=F
2023-09-21,89.62999725341797,crude,CL=F
2023-09-22,90.02999877929688,crude,CL=F
2023-09-25,89.68000030517578,crude,CL=F
2023-09-26,90.38999938964844,crude,CL=F
2023-09-27,93.68000030517578,crude,CL=F
2023-09-28,91.70999908447266,crude,CL=F
2023-09-29,90.79000091552734,crude,CL=F
2023-10-02,88.81999969482422,crude,CL=F
2023-10-03,89.2300033569336,crude,CL=F
